,Unnamed: 0,City,State,County,Materials_Cost,Installation_Cost,Composite_Cost,Total_Construction_Cost_Index,Cnt_CoastalStorm,Cnt_DamBreak,Cnt_Drought,Cnt_Earthquake,Cnt_Fire,Cnt_FishingLosses,Cnt_Flood,Cnt_Freezing,Cnt_HumanCause,Cnt_Hurricane,Cnt_MudLandslide,Cnt_Other,Cnt_SevereIce,Cnt_SevereStorms,Cnt_Snow,Cnt_Terrorist,Cnt_Tornado,Cnt_Toxic,Cnt_Tsunami,Cnt_Typhoon,Cnt_Volcano,Cnt_All_Incidents,cents_per_kwh,Mean_Temp_F,LATITUDE_X,LONGITUDE_Y,COORDINATES,"Dist_KM_to_Los Angeles, CA","Dist_KM_to_Phoenix, AZ","Dist_KM_to_Houston, TX","Dist_KM_to_Chicago, IL","Dist_KM_to_New York City, NY",EXTREME_WEATH_EVENTS_YEARLY
0,0,Phoenix,Arizona,Maricopa,98.4,72.1,87.0,257.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.29,73.92684642438444,33.448436699999995,-112.07414170000001,"(33.4484367, -112.0741417)",575.3824141733805,0.0,1635.2565692287292,2340.6635250058266,3450.9484494550434,0.26
1,1,Los Angeles,California,Los Angeles,98.4,129.3,111.8,339.5,1.0,0.0,0.0,3.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.18,62.11981242672922,34.0536909,-118.24276599999999,"(34.0536909, -118.242766)",0.0,575.3824141733805,2210.480447079753,2809.7928819806652,3944.275348972268,0.52
2,2,San Diego,California,San Diego,100.3,121.3,109.4,331.0,1.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.18,63.88135990621333,32.7174202,-117.16277279999998,"(32.7174202, -117.1627728)",179.0589265829951,481.9182535361445,2098.2405540056743,2792.055377001697,3915.398073514145,0.42
3,3,San Francisco,California,San Francisco,107.6,159.0,129.8,396.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.18,57.482297772567385,37.779026200000004,-122.41990600000001,"(37.7790262, -122.419906)",559.3369112588764,1052.4257055023095,2647.742303000506,2992.4295245175067,4139.030509008028,0.08
4,4,Denver,Colorado,Denver,104.0,75.1,91.5,270.6,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.34,48.87561547479482,39.7392364,-104.98486229999999,"(39.7392364, -104.9848623)",1337.608772491308,942.6026317614012,1412.772001716098,1481.3081827017688,2625.182537633708,0.08
5,5,Miami,Florida,Miami-Dade,96.2,70.4,85.1,251.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,8.11,76.74525205158257,25.7741728,-80.19362,"(25.7741728, -80.19362)",3764.185821585383,3188.962029693833,1558.1288299235764,1911.921733342488,1753.0763004217727,0.36
6,6,Atlanta,Georgia,Fulton,98.7,76.7,89.2,264.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,7.24,62.781477139507686,33.7489924,-84.3902644,"(33.7489924, -84.3902644)",3116.7441600035963,2561.9694752182018,1129.4213236913547,945.6790244649948,1201.1574660089625,0.18
7,7,Chicago,Illinois,Cook,100.5,144.4,119.5,364.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,7.51,49.84819277108439,41.875561600000005,-87.6244212,"(41.8755616, -87.6244212)",2809.7928819806652,2340.663525005827,1514.002429671554,0.0,1146.7355698405568,0.3
8,8,Indianapolis,Indiana,Marion,99.5,82.9,92.3,274.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.64,52.861430246189954,39.7683331,-86.1583502,"(39.7683331, -86.1583502)",2912.1548784525617,2412.5121234944017,1392.4555799664706,264.6710481001224,1038.5445437875442,0.2
9,9,Baltimore,Maryland,Baltimore City,102.3,83.1,94.0,279.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.72,54.87116060961319,39.2908816,-76.610759,"(39.2908816, -76.610759)",3733.439772654481,3226.3793199441234,2014.608894458933,974.7987347924795,272.7360589255921,0.26
10,10,Boston,Massachusetts,Suffolk,100.2,132.9,114.3,347.4,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.68,50.89085580304803,42.3602534,-71.0582912,"(42.3602534, -71.0582912)",4178.661563251043,3701.465145841609,2583.8867871714224,1368.8695283990642,306.5470647507601,0.38
11,11,Detroit,Michigan,Wayne,99.5,100.9,100.1,300.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.85,49.73766756032165,42.331550899999996,-83.04664029999999,"(42.3315509, -83.0466403)",3191.691751387193,2720.588207116341,1778.8860484133866,381.9811596277595,775.3066655459766,0.16
12,12,Kansas City,Missouri,Jackson,97.5,101.8,99.3,298.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,7.93,54.55206896551724,39.100105,-94.5781416,"(39.100105, -94.5781416)",2183.835123300264,1688.947972478913,1038.7504153133864,664.9567606262619,1764.14243873435,0.32
13,13,St. Louis,Missouri,St Louis,97.5,104.6,100.6,302.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,56.40586166471277,38.6529545,-90.24111656024635,"(38.6529545, -90.24111656024635)",2554.226740630033,2044.6159272490186,1093.3722948280026,421.36371573173835,1409.311175444036,0.0
14,14,Buffalo,New York,Erie,100.9,109.8,104.8,315.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.35,47.44361078546303,42.8867166,-78.87839220000001,"(42.8867166, -78.8783922)",3537.056433142073,3068.094317477345,2069.7444037611717,728.6333280928337,471.3523414241188,0.2
15,15,New York,New York,New York,100.3,174.2,132.2,406.7,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.35,54.22157092614298,40.7127281,-74.0060152,"(40.7127281, -74.0060152)",3944.275348972268,3450.9484494550434,2283.473189081701,1146.735569840557,0.0,0.22
16,16,Cincinnati,Ohio,Hamilton,98.0,79.2,89.9,267.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,6.85,53.832121922626044,39.1014537,-84.5124602,"(39.1014537, -84.5124602)",3052.3320812208417,2543.8373491043144,1436.4350581525725,405.5294155018945,915.4415067666336,0.22
17,17,Cleveland,Ohio,Cuyahoga,99.4,91.5,96.0,286.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,6.85,51.24994138335291,41.5051613,-81.6934446,"(41.5051613, -81.6934446)",3297.786551338072,2815.027559518968,1793.4740350761595,495.3716396806543,651.4621615095205,0.26
18,18,Columbus,Ohio,Franklin,99.2,83.2,92.3,274.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,6.85,53.392262602579116,39.9622601,-83.00070649999999,"(39.9622601, -83.0007065)",3182.781324351436,2683.155283517353,1596.9414828357833,443.5878842719898,768.4816085729116,0.26
19,19,Philadelphia,Pennsylvania,Philadelphia,99.7,136.9,115.8,352.4,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.85,54.834818288393876,39.9527237,-75.16352619999999,"(39.9527237, -75.1635262)",3851.941412612071,3351.298041893283,2158.4293411208428,1070.2277353191714,129.60181090877012,0.28
20,20,Pittsburgh,Pennsylvania,Allegheny,99.3,102.6,100.7,302.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.85,50.10304806565068,40.4416941,-79.99008609999998,"(40.4416941, -79.9900861)",3439.148162611408,2943.4888060883386,1830.950763365803,660.0111716485742,507.46857195440214,0.24
21,21,Memphis,Tennessee,Shelby,96.5,72.5,86.1,255.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,5.86,62.21219226260257,35.1490215,-90.0516285,"(35.1490215, -90.0516285)",2580.1589937067088,2031.990723754336,778.8885164188664,776.020880432803,1536.858230766138,0.26
22,22,Nashville,Tennessee,Davidson,100.0,74.5,89.0,263.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,5.86,60.125908558030474,36.16227670000001,-86.7742984,"(36.1622767, -86.7742984)",2865.9205259288287,2327.845373774148,1071.4265752975418,638.5144603275403,1222.287710063629,0.24
23,23,Dallas,Texas,Dallas,100.1,67.4,86.0,253.5,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.06,67.20058616647125,32.7762719,-96.7968559,"(32.7762719, -96.7968559)",1996.128766381052,1426.5630926989727,361.1594077252248,1294.7628809259747,2209.33200933076,0.18
24,24,Houston,Texas,Harris,101.3,67.3,86.6,255.2,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,6.06,70.75287221570923,29.7589382,-95.36769740000001,"(29.7589382, -95.3676974)",2210.480447079753,1635.2565692287292,0.0,1514.0024296715546,2283.473189081701,0.4
25,25,San Antonio,Texas,Bexar,98.9,63.8,83.7,246.4,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.06,68.35955451348185,29.424600199999997,-98.4951405,"(29.4246002, -98.4951405)",1936.8478833905792,1364.5179868613218,305.23090575330605,1693.1986772482412,2547.986584953837,0.18
26,26,Seattle,Washington,King,105.4,108.4,106.7,320.5,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,6.1,52.918522860492345,47.6038321,-122.3300624,"(47.6038321, -122.3300624)",1543.163188604182,1792.4551315808355,3042.5764169053527,2796.491050785924,3875.494837124149,0.52
27,27,Milwaukee,Wisconsin,Milwaukee,97.9,111.7,103.9,313.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.18,48.036225087924954,43.0349931,-87.92249699999999,"(43.0349931, -87.922497)",2806.266266705071,2355.236375884895,1615.8496357246765,131.10499631331837,1182.2074673299205,0.26
